Number,Name,y,x,District,Public,Total docks
M32056,Mass Ave at Hadley/Walden,42.39120972,-71.12260755,Cambridge,Yes,19
C32063,Mass Ave T Station,42.34135616,-71.08336953,Boston,Yes,16
C32004,Massachusetts Ave at Columbus Ave,42.33949454,-71.08020781,Boston,Yes,6
C32050,Mattapan Library,42.2773889,-71.09325,Boston,Yes,15
C32045,Mattapan T Stop,42.267902,-71.093641,Boston,Yes,15
A32030,Maverick Square - Lewis Mall,42.36884408,-71.03977829,Boston,Yes,33
A32044,Maverick St at Massport Path,42.36774122,-71.03335975,Boston,Yes,15
D32037,Medford St at Charlestown BCYF,42.38042947,-71.06055722,Boston,Yes,19
M32006,MIT at Mass Ave / Amherst St,42.3581,-71.093198,Cambridge,Yes,27
M32070,MIT Carleton St at Amherst St,42.36054174,-71.08669817,Cambridge,Yes,27
M32071,MIT Hayward St at Amherst St,42.36085937,-71.08551858,Cambridge,Yes,27
M32041,MIT Pacific St at Purrington St,42.3595732,-71.10129476,Cambridge,Yes,19
M32005,MIT Stata Center at Vassar St / Main St,42.36213123,-71.09115601,Cambridge,Yes,35
M32042,MIT Vassar St,42.35560121,-71.10394478,Cambridge,Yes,25
B32023,MLK Blvd at Washington St,42.32143814,-71.09126061,Boston,Yes,15
M32043,Mt Auburn,42.37478629,-71.13320231,Cambridge,Yes,19
C32080,Mt. Hope St at Hyde Park Ave,42.28484472,-71.11874517,Boston,Yes,0
D32017,Mugar Way at Beacon St,42.35553628,-71.0728687,Boston,Yes,19
C32023,Murphy Skating Rink - 1880 Day Blvd,42.336448,-71.023739,Boston,Yes,19
M32045,Museum of Science,42.36769018,-71.07116282,Cambridge,Yes,19
A32025,Nashua Street at Red Auerbach Way,42.365673,-71.064263,Boston,Yes,37
B32027,NCAAA - Walnut Ave at Crawford St,42.316902,-71.091946,Boston,Yes,15
D32001,New Balance - 20 Guest St,42.35732922,-71.1467354,Boston,Yes,15
B32000,Newbury St at Hereford St,42.348717,-71.085954,Boston,Yes,23
